iter,loss_total,loss_pde,loss_ic,loss_bc
1,5.805965641969242e-05,1.7766837990293332e-06,2.684154935304743e-07,6.69639844392333e-05
2,4.7969730980224776e-05,1.9086405143297927e-06,1.1271415990476547e-06,4.9380102047071095e-05
3,4.311563628823286e-05,1.8596969934144364e-06,6.379463592240826e-07,4.644907869196282e-05
4,2.8518935872445004e-05,1.8080872025986148e-06,3.4254046132236605e-07,3.0494304120395177e-05
5,2.557988910413638e-05,1.832426540635143e-06,3.2457867037834204e-07,2.699142616143829e-05
6,2.3635026603083922e-05,1.8009372877727878e-06,2.053275621662076e-07,2.5372949111129208e-05
7,2.1809482833299686e-05,1.7368903971145966e-06,1.767553341692239e-07,2.3397692141663177e-05
8,2.0464180381816003e-05,1.6528993750221409e-06,3.5911202061884414e-07,2.077149552046833e-05
9,1.9010297280837787e-05,1.5749392056101513e-06,3.292746464455886e-07,1.9273530348447667e-05
10,1.702456613091698e-05,1.425816302686563e-06,3.0009099095869717e-07,1.7210420851672372e-05
11,1.5789144305443135e-05,1.3391537932611943e-06,2.7095199439519403e-07,1.598502912699963e-05
12,1.3205750150206787e-05,1.203825026701484e-06,2.144801123956948e-07,1.3340047813236968e-05
13,1.0147765564465152e-05,1.104237473769933e-06,2.0410171666120698e-07,9.797937116097788e-06
14,9.542449811180068e-06,1.0907059062127616e-06,1.5720295420030918e-07,9.357205146203304e-06
15,8.380280085365383e-06,1.112624109310368e-06,2.0093084431386306e-07,7.653394210618372e-06
16,7.671929614365922e-06,1.1097671535162728e-06,1.888412128147789e-07,6.866149282436595e-06
17,6.937264448280973e-06,1.1115502847777814e-06,2.0179502073120226e-07,5.8915586293473794e-06
18,6.53881562292621e-06,1.1125323744913785e-06,1.8866441526095412e-07,5.483399909064499e-06
19,6.278017794276569e-06,1.0882368110386097e-06,1.893614642681954e-07,5.191111809220404e-06
20,6.083324627448548e-06,1.0867172254010996e-06,2.34759208570966e-07,4.684523124890567e-06
21,5.724503221551975e-06,1.051092005890383e-06,1.9173200410011355e-07,4.547870874294914e-06
22,5.447991593826379e-06,1.022927752396811e-06,1.7755488653771095e-07,4.33002536324915e-06
23,5.216120050705437e-06,9.996208064608431e-07,1.7751253908185346e-07,4.076190733359157e-06
24,4.863133546703723e-06,9.453959363417805e-07,1.6894255246042993e-07,3.763424529072837e-06
