iter,loss_total,loss_pde,loss_ic,loss_bc
1,5.631317288341387e-05,2.6398594234270467e-05,1.8472053660632162e-06,0.00010711823262334893
2,5.308016982568715e-05,2.5934989495233406e-05,6.3471841739717484e-06,7.203791369141901e-05
3,4.969619538180326e-05,2.5831354956380715e-05,4.005753751676917e-06,7.181423753346458e-05
4,4.117148147441581e-05,2.5287191489955904e-05,1.8051132098550025e-06,5.2438004076552276e-05
5,3.640852206390135e-05,2.4502759538280026e-05,1.9995289690031184e-06,3.582083086491336e-05
6,3.0470362307532633e-05,2.248911923578942e-05,1.2823784679469275e-06,2.4325826016854256e-05
7,2.7143981679538224e-05,2.044411502001162e-05,6.677614270748116e-07,2.262228798942963e-05
8,2.5647999691118572e-05,1.9173339027300822e-05,8.225983293250092e-07,2.090681227281735e-05
9,2.376815497705739e-05,1.6939404199544208e-05,1.2890793206872743e-06,1.977949331755233e-05
10,2.1619836630152788e-05,1.5208945298793317e-05,1.4980689214050998e-06,1.7018343196503245e-05
11,1.9479260537995754e-05,1.3509889231961529e-05,1.1707709285293239e-06,1.7053698835589997e-05
12,1.7224879087864866e-05,1.1709062304961335e-05,9.032486448900297e-07,1.6719932898776882e-05
13,1.4659523086156948e-05,1.0023420451083031e-05,7.815514248642906e-07,1.3932815822007709e-05
14,1.4093998606937578e-05,9.49649732621753e-06,8.156615593022158e-07,1.3597992045941843e-05
15,1.2943839088396854e-05,8.947179314341088e-06,7.138597665090944e-07,1.1795051100672662e-05
16,1.210100611993456e-05,8.481353345852944e-06,6.866408915212587e-07,1.0466283018807982e-05
17,1.1023263421670913e-05,7.712742410922886e-06,5.975749049568847e-07,9.7363261748464e-06
18,1.0501447940052194e-05,7.338629245868421e-06,5.975612840041173e-07,9.158372289579728e-06
19,9.87351932721861e-06,6.786694738229308e-06,6.63985500749501e-07,8.503130292430595e-06
20,8.70202182286341e-06,5.81740258725897e-06,7.483121768131891e-07,7.257520961004172e-06
21,7.996113577106591e-06,5.006402507203897e-06,1.0615538452629668e-06,5.9812912420385595e-06
22,6.752541005182391e-06,4.293507875206216e-06,8.931102903449627e-07,4.811946674041156e-06
23,6.314963961569744e-06,4.100509087013048e-06,7.732356076169775e-07,4.500590766440211e-06
24,5.915296331400285e-06,3.874676603325999e-06,6.651352829745754e-07,4.402654175789744e-06
25,5.3594809692798715e-06,3.4829669227976116e-06,5.832179099584397e-07,4.201740084682495e-06
26,5.20992009623956e-06,3.253001242034979e-06,6.597274763150447e-07,4.104227122152855e-06
27,4.549708465011757e-06,2.80372558952928e-06,5.893599645163016e-07,3.657822816191226e-06
28,4.146175772834589e-06,2.5516691068405845e-06,5.529953446025849e-07,3.2609308623167246e-06
29,3.847777722939157e-06,2.369123189897836e-06,5.201178736263144e-07,2.98466629804173e-06
30,3.6892630307758076e-06,2.2614956932941998e-06,4.7228309621209837e-07,3.043217822211027e-06
31,3.4927950870792013e-06,2.1674865789814116e-06,4.458952639411833e-07,2.784406303180311e-06
32,3.2475787939574705e-06,2.0359017982736596e-06,3.993603040602243e-07,2.5904079805162432e-06
33,2.999782548747839e-06,1.8647737761584893e-06,3.865216682669018e-07,2.3595344606978333e-06
34,2.8811541151881613e-06,1.7471390594052823e-06,3.8821836343471627e-07,2.3465051145254196e-06
35,2.795965067154502e-06,1.7134983400447802e-06,3.8009876469487156e-07,2.18851482142955e-06
36,2.654749246161133e-06,1.6333460928659514e-06,3.743712170076946e-07,1.98040047607887e-06
37,2.57815879973265e-06,1.5229379329204534e-06,3.977468856948229e-07,1.9868148560490465e-06
38,2.483901974084505e-06,1.4541904179867305e-06,3.857327253867547e-07,1.9517081149403767e-06
39,2.4536059363045914e-06,1.4442727972882671e-06,3.7153930337862046e-07,1.948421093626129e-06
40,2.3626425099071096e-06,1.387552629935835e-06,3.539528696093516e-07,1.9091534620081927e-06
41,2.2710865086876484e-06,1.2950148236373143e-06,3.132463501886108e-07,2.1322907895587036e-06
42,2.129985142439492e-06,1.2395589485729747e-06,3.231664178958819e-07,1.7436788842721555e-06
43,2.045739316142766e-06,1.1960615047605147e-06,3.2498683490915684e-07,1.574404684918219e-06
44,1.9701626493140207e-06,1.153235014283423e-06,3.193766154109705e-07,1.4764616449759187e-06
45,1.8814952670051637e-06,1.0974064593824175e-06,3.0664022943045355e-07,1.4165619159890983e-06
46,1.8038042309886233e-06,1.0395697956783232e-06,3.081617751635386e-07,1.3306656978762122e-06
47,1.733035578647814e-06,9.865283059745115e-07,3.0528809009629934e-07,1.276772317638083e-06
48,1.6753440512891422e-06,9.311207129884642e-07,3.079838276668085e-07,1.2533116916914174e-06
